2026-02-04 20:33:40,259 | INFO | __main__ | Running tests...
2026-02-04 20:33:40,308 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/login
2026-02-04 20:33:40,341 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/login
2026-02-04 20:33:40,385 | INFO | test_runner.test_executor | Executing case: GET http://localhost:1234/api/user/page?currentPage=1&size=10
2026-02-04 20:33:40,436 | INFO | test_runner.test_executor | Executing case: GET http://localhost:1234/api/user/page?currentPage=1&size=10
2026-02-04 20:33:40,462 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/add
2026-02-04 20:33:40,597 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/add
2026-02-04 20:33:40,620 | INFO | test_runner.test_executor | Executing case: PUT http://localhost:1234/api/user/password/1
2026-02-04 20:33:40,643 | INFO | test_runner.test_executor | Executing case: PUT http://localhost:1234/api/user/password/1
2026-02-04 20:33:40,664 | INFO | test_runner.test_executor | Executing case: GET http://localhost:1234/api/user/forget?email=new_user@example.com&newPassword=new_password123
2026-02-04 20:33:40,687 | INFO | test_runner.test_executor | Executing case: DELETE http://localhost:1234/api/user/delete/1
2026-02-04 20:33:40,718 | INFO | test_runner.test_executor | Executing case: DELETE http://localhost:1234/api/user/delete/2
2026-02-04 20:33:41,814 | INFO | __main__ | Allure report generated at allure-report
2026-02-04 20:37:30,963 | INFO | __main__ | Generating test cases...
2026-02-04 20:37:59,002 | INFO | src.core.case_generator | Generated cases saved to data/test_cases/farm_cases.json
2026-02-04 20:38:29,563 | INFO | __main__ | Running tests...
2026-02-04 20:38:29,613 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/login
2026-02-04 20:38:32,524 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/login
2026-02-04 20:38:34,296 | INFO | test_runner.test_executor | Executing case: GET http://localhost:1234/api/user/page
2026-02-04 20:38:36,534 | INFO | test_runner.test_executor | Executing case: GET http://localhost:1234/api/user/page
2026-02-04 20:38:38,049 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/add
2026-02-04 20:38:40,183 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/add
2026-02-04 20:38:42,024 | INFO | test_runner.test_executor | Executing case: PUT http://localhost:1234/api/user/password/1
2026-02-04 20:38:43,771 | INFO | test_runner.test_executor | Executing case: PUT http://localhost:1234/api/user/password/1
2026-02-04 20:38:46,339 | INFO | test_runner.test_executor | Executing case: DELETE http://localhost:1234/api/user/delete/1
2026-02-04 20:38:48,094 | INFO | test_runner.test_executor | Executing case: DELETE http://localhost:1234/api/user/delete/1
2026-02-04 20:39:00,982 | INFO | __main__ | Allure report generated at allure-report
2026-02-05 18:17:31,523 | INFO | __main__ | Generating test cases...
2026-02-05 18:17:48,993 | INFO | __main__ | Generating test cases...
2026-02-05 18:17:58,762 | INFO | __main__ | Generating test cases...
2026-02-05 18:18:28,825 | INFO | src.core.case_generator | Generated cases saved to data/test_cases/farm_cases.json
2026-02-05 18:31:09,537 | INFO | __main__ | Running tests...
2026-02-05 18:31:09,589 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/login
2026-02-05 18:31:11,761 | INFO | __main__ | Allure report generated at allure-report
2026-02-05 18:31:23,229 | INFO | __main__ | Running tests...
2026-02-05 18:31:23,279 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/login
2026-02-05 18:31:24,858 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/login
2026-02-05 18:31:26,500 | INFO | test_runner.test_executor | Executing case: GET http://localhost:1234/api/user/page
2026-02-05 18:31:28,282 | INFO | test_runner.test_executor | Executing case: GET http://localhost:1234/api/user/page
2026-02-05 18:31:29,751 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/add
2026-02-05 18:31:31,133 | INFO | test_runner.test_executor | Executing case: POST http://localhost:1234/api/user/add
2026-02-05 18:31:32,849 | INFO | test_runner.test_executor | Executing case: PUT http://localhost:1234/api/user/password/1
2026-02-05 18:31:34,593 | INFO | test_runner.test_executor | Executing case: PUT http://localhost:1234/api/user/password/1
2026-02-05 18:31:36,310 | INFO | test_runner.test_executor | Executing case: GET http://localhost:1234/api/user/forget
2026-02-05 18:31:38,071 | INFO | test_runner.test_executor | Executing case: DELETE http://localhost:1234/api/user/delete/1
2026-02-05 18:31:39,497 | INFO | test_runner.test_executor | Executing case: DELETE http://localhost:1234/api/user/delete/1
2026-02-05 18:31:41,318 | INFO | test_runner.test_executor | Executing case: DELETE http://localhost:1234/api/user/delete/1
2026-02-05 18:31:44,148 | INFO | __main__ | Allure report generated at allure-report
